dir	example	argv	variant	status	exit	seconds	stdout_bytes	stdout_sha256
cvodes/serial	cvsAdvDiff_ASAi_bnd		cvsAdvDiff_ASAi_bnd	OK	0	0.106	273	85d580b503344228
cvodes/serial	cvsAdvDiff_FSA_non	-sensi sim t	cvsAdvDiff_FSA_non__-sensi_sim_t	OK	0	0.106	3262	7e6b817908a5df5d
cvodes/serial	cvsAdvDiff_FSA_non	-sensi stg t	cvsAdvDiff_FSA_non__-sensi_stg_t	OK	0	0.105	3259	aba1080724c2adf5
cvodes/serial	cvsAdvDiff_bnd		cvsAdvDiff_bnd	OK	0	0.106	850	24b74965dc903776
cvodes/serial	cvsAnalytic_mels		cvsAnalytic_mels	OK	0	0.105	770	c13a8a670343e246
cvodes/serial	cvsAnalytic_mels	cvodes.max_order 3	cvsAnalytic_mels__cvodes.max_order_3	OK	0	0.105	771	8b5710623edaecaf
cvodes/serial	cvsDirectDemo_ls		cvsDirectDemo_ls	OK	0	0.105	17713	7537f64339279cdf
cvodes/serial	cvsDiurnal_FSA_kry	-sensi sim t	cvsDiurnal_FSA_kry__-sensi_sim_t	OK	0	0.306	8944	f460c8e24337d671
cvodes/serial	cvsDiurnal_FSA_kry	-sensi stg t	cvsDiurnal_FSA_kry__-sensi_stg_t	OK	0	0.105	8941	5bbde57fae6067b2
cvodes/serial	cvsDiurnal_kry		cvsDiurnal_kry	OK	0	0.105	2860	175cd73d3f78930b
cvodes/serial	cvsDiurnal_kry_bp		cvsDiurnal_kry_bp	OK	0	0.105	6047	ff9fe30eabbd17ba
cvodes/serial	cvsFoodWeb_ASAi_kry		cvsFoodWeb_ASAi_kry	OK	0	0.505	991	dbb0f31483d7b0b9
cvodes/serial	cvsFoodWeb_ASAp_kry		cvsFoodWeb_ASAp_kry	OK	0	0.906	961	ab4dd07a66053a31
cvodes/serial	cvsHessian_ASA_FSA		cvsHessian_ASA_FSA	OK	0	0.106	2307	b3079e8ddf9f5528
cvodes/serial	cvsKrylovDemo_ls		cvsKrylovDemo_ls	OK	0	0.105	11712	6f0cda0e35d96b82
cvodes/serial	cvsKrylovDemo_ls	1	cvsKrylovDemo_ls__1	OK	0	0.105	11712	6f0cda0e35d96b82
cvodes/serial	cvsKrylovDemo_ls	2	cvsKrylovDemo_ls__2	OK	0	0.105	11712	6f0cda0e35d96b82
cvodes/serial	cvsKrylovDemo_prec		cvsKrylovDemo_prec	OK	0	0.105	26472	8e4b506a75e1c2f0
cvodes/serial	cvsLotkaVolterra_ASA		cvsLotkaVolterra_ASA	OK	0	0.105	405	44d47a6d5cd349cc
cvodes/serial	cvsParticle_dns		cvsParticle_dns	OK	0	0.106	885	fa77abe19cddd1f7
cvodes/serial	cvsPendulum_dns		cvsPendulum_dns	OK	0	0.105	1900	66778152510991e4
cvodes/serial	cvsRoberts_ASAi_dns		cvsRoberts_ASAi_dns	OK	0	0.106	5336	9e3b3a9e1e06b09e
cvodes/serial	cvsRoberts_ASAi_dns_constraints		cvsRoberts_ASAi_dns_constraints	OK	0	0.106	1879	45a5a45c32e992f9
cvodes/serial	cvsRoberts_FSA_dns	-sensi sim t	cvsRoberts_FSA_dns__-sensi_sim_t	OK	0	0.106	6280	bd0b1b6688422332
cvodes/serial	cvsRoberts_FSA_dns	-sensi stg1 t	cvsRoberts_FSA_dns__-sensi_stg1_t	OK	0	0.106	6513	928aa78347d646e0
cvodes/serial	cvsRoberts_FSA_dns_Switch		cvsRoberts_FSA_dns_Switch	OK	0	0.105	1849	2e523db061c19214
cvodes/serial	cvsRoberts_FSA_dns_constraints	-sensi stg1 t	cvsRoberts_FSA_dns_constraints__-sensi_stg1_t	OK	0	0.105	5277	3f2c9e3dcea16dc4
cvodes/serial	cvsRoberts_dns		cvsRoberts_dns	OK	0	0.105	2217	c23a663fee1d66b7
cvodes/serial	cvsRoberts_dns_constraints		cvsRoberts_dns_constraints	OK	0	0.105	1261	106ba20145b7ce7c
cvodes/serial	cvsRoberts_dns_uw		cvsRoberts_dns_uw	OK	0	0.105	1261	abf33560958e0f9f
cvodes/serial	cvsKrylovDemo_ls	0 1	cvsKrylovDemo_ls__0_1	OK	0	0.106	11712	6f0cda0e35d96b82
cvodes/serial	cvsAdvDiff_bndL		cvsAdvDiff_bndL	OK	0	0.105	863	6b6ec3b83bbcaeb2
cvodes/serial	cvsRoberts_dnsL		cvsRoberts_dnsL	OK	0	0.105	1261	abf33560958e0f9f
cvodes/serial	cvsRoberts_ASAi_klu		cvsRoberts_ASAi_klu	OK	0	0.105	1879	8abb46019e78f89d
cvodes/serial	cvsRoberts_FSA_klu	-sensi stg1 t	cvsRoberts_FSA_klu__-sensi_stg1_t	OK	0	0.105	5262	68f3ec85041e86ae
cvodes/serial	cvsRoberts_klu		cvsRoberts_klu	OK	0	0.105	1245	e2319ee837288d96
cvodes/serial	cvsRoberts_ASAi_sps		cvsRoberts_ASAi_sps	NOT_PORTED	-	-	0	-
cvodes/serial	cvsRoberts_FSA_sps	-sensi stg1 t	cvsRoberts_FSA_sps__-sensi_stg1_t	NOT_PORTED	-	-	0	-
cvodes/serial	cvsRoberts_sps		cvsRoberts_sps	NOT_PORTED	-	-	0	-
kinsol/serial	kinAnalytic_fp		kinAnalytic_fp	OK	0	0.106	708	98998bade74550e6
kinsol/serial	kinAnalytic_fp	--damping_fp 0.5	kinAnalytic_fp__--damping_fp_0.5	OK	0	0.106	717	f2262e780b477be1
kinsol/serial	kinAnalytic_fp	--damping_fn	kinAnalytic_fp__--damping_fn	OK	0	0.106	714	7afe99c8ef1e0b37
kinsol/serial	kinAnalytic_fp	--m_aa 2	kinAnalytic_fp__--m_aa_2	OK	0	0.106	707	1835ebe4be87f8ee
kinsol/serial	kinAnalytic_fp	--m_aa 2 --delay_aa 2	kinAnalytic_fp__--m_aa_2_--delay_aa_2	OK	0	0.106	708	370eaba2106470f6
kinsol/serial	kinAnalytic_fp	--m_aa 2 --damping_aa 0.5	kinAnalytic_fp__--m_aa_2_--damping_aa_0.5	OK	0	0.106	722	6696251d2c61eb86
kinsol/serial	kinAnalytic_fp	--m_aa 2 --damping_fn	kinAnalytic_fp__--m_aa_2_--damping_fn	OK	0	0.107	711	49768800e80847cd
kinsol/serial	kinAnalytic_fp	--m_aa 3 --depth_fn	kinAnalytic_fp__--m_aa_3_--depth_fn	OK	0	0.106	707	21f45b4b3887b860
kinsol/serial	kinAnalytic_fp	--m_aa 2 --orth_aa 1	kinAnalytic_fp__--m_aa_2_--orth_aa_1	OK	0	0.106	707	5e6bc473ab82cbc0
kinsol/serial	kinAnalytic_fp	--m_aa 2 --orth_aa 2	kinAnalytic_fp__--m_aa_2_--orth_aa_2	OK	0	0.107	707	ede30554c343b27f
kinsol/serial	kinAnalytic_fp	--m_aa 2 --orth_aa 3	kinAnalytic_fp__--m_aa_2_--orth_aa_3	OK	0	0.108	707	b07bc414f32f23a3
kinsol/serial	kinFerTron_dns		kinFerTron_dns	OK	0	0.107	1503	6ac846fe2cdec1d5
kinsol/serial	kinFoodWeb_kry		kinFoodWeb_kry	OK	0	0.107	789	931d25d83cba3c00
kinsol/serial	kinKrylovDemo_ls		kinKrylovDemo_ls	OK	0	0.105	3420	27535204b5a07f97
kinsol/serial	kinLaplace_bnd		kinLaplace_bnd	OK	0	0.105	1816	54c7e2398c7384e8
kinsol/serial	kinLaplace_picard_bnd		kinLaplace_picard_bnd	OK	0	0.105	1762	73402c23fd8ab615
kinsol/serial	kinLaplace_picard_kry		kinLaplace_picard_kry	OK	0	0.106	1761	02de672f876b0057
kinsol/serial	kinRoberts_fp		kinRoberts_fp	OK	0	0.106	546	aad4d127168471e7
kinsol/serial	kinRoberts_fp	kinsol.m_aa 1	kinRoberts_fp__kinsol.m_aa_1	OK	0	0.106	546	fb18d2ee22ddf344
kinsol/serial	kinRoboKin_dns		kinRoboKin_dns	OK	0	0.107	1483	f73ec9e6acefec29
kinsol/serial	kinFerTron_klu		kinFerTron_klu	OK	0	0.107	1399	2cbbde2630ba8259
kinsol/serial	kinRoboKin_slu		kinRoboKin_slu	NOT_PORTED	-	-	0	-
ida/serial	idaAnalytic_mels		idaAnalytic_mels	OK	0	0.106	756	bf1750471b116227
ida/serial	idaAnalytic_mels	ida.scalar_tolerances 1e-3 1e-8	idaAnalytic_mels__ida.scalar_tolerances_1e-3_1e-8	OK	0	0.105	751	a52123c7523ee23a
ida/serial	idaFoodWeb_bnd		idaFoodWeb_bnd	OK	0	0.506	1540	7a7b7e86364360d0
ida/serial	idaFoodWeb_kry		idaFoodWeb_kry	OK	0	0.206	1516	94053386b480102c
ida/serial	idaHeat2D_bnd		idaHeat2D_bnd	OK	0	0.106	1465	81d7aa7ac1c072d7
ida/serial	idaHeat2D_kry		idaHeat2D_kry	OK	0	0.106	2646	f7e8058dc419f94e
ida/serial	idaKrylovDemo_ls		idaKrylovDemo_ls	OK	0	0.106	4763	dcae85140f5954b1
ida/serial	idaKrylovDemo_ls	1	idaKrylovDemo_ls__1	OK	0	0.106	4763	dcae85140f5954b1
ida/serial	idaKrylovDemo_ls	2	idaKrylovDemo_ls__2	OK	0	0.105	4763	dcae85140f5954b1
ida/serial	idaRoberts_dns		idaRoberts_dns	OK	0	0.105	2684	f6ce9a7b6597543c
ida/serial	idaSlCrank_dns		idaSlCrank_dns	OK	0	0.105	3551	a05c948cf9456ba7
ida/serial	idaHeat2D_klu		idaHeat2D_klu	OK	0	0.107	1355	54f0d048c6173673
ida/serial	idaRoberts_klu		idaRoberts_klu	OK	0	0.107	1925	0e0dd050cf3b590c
ida/serial	idaRoberts_sps		idaRoberts_sps	NOT_PORTED	-	-	0	-
idas/serial	idasAkzoNob_ASAi_dns		idasAkzoNob_ASAi_dns	OK	0	0.106	567	323408d02fe4d304
idas/serial	idasAkzoNob_dns		idasAkzoNob_dns	OK	0	0.105	3036	dd69bfec8d242eca
idas/serial	idasAnalytic_mels		idasAnalytic_mels	OK	0	0.105	842	e67c6d65051515df
idas/serial	idasAnalytic_mels	idas.init_step 1e-5	idasAnalytic_mels__idas.init_step_1e-5	OK	0	0.106	842	85c169b7a9d39601
idas/serial	idasFoodWeb_bnd		idasFoodWeb_bnd	OK	0	0.506	1541	f48a0923fb034160
idas/serial	idasHeat2D_bnd		idasHeat2D_bnd	OK	0	0.105	1478	3dc0d5ea6d93ec20
idas/serial	idasHeat2D_kry		idasHeat2D_kry	OK	0	0.105	2665	0d9772e8099f0f4a
idas/serial	idasHessian_ASA_FSA		idasHessian_ASA_FSA	OK	0	0.106	1258	e91863a731e78eb0
idas/serial	idasKrylovDemo_ls		idasKrylovDemo_ls	OK	0	0.105	4820	4dc9af3533dc886f
idas/serial	idasKrylovDemo_ls	1	idasKrylovDemo_ls__1	OK	0	0.105	4820	4dc9af3533dc886f
idas/serial	idasKrylovDemo_ls	2	idasKrylovDemo_ls__2	OK	0	0.105	4820	4dc9af3533dc886f
idas/serial	idasRoberts_ASAi_dns		idasRoberts_ASAi_dns	OK	0	0.105	4644	6393797cd4df94a3
idas/serial	idasRoberts_FSA_dns	-sensi stg t	idasRoberts_FSA_dns__-sensi_stg_t	OK	0	0.105	7142	803d81f721357fff
idas/serial	idasRoberts_dns		idasRoberts_dns	OK	0	0.106	2692	74a2ad3da56b9a0c
idas/serial	idasSlCrank_dns		idasSlCrank_dns	OK	0	0.105	2546	a10754d1065e7e74
idas/serial	idasSlCrank_FSA_dns		idasSlCrank_FSA_dns	OK	0	0.105	1027	b331e2f65e6ffffe
idas/serial	idasRoberts_ASAi_klu		idasRoberts_ASAi_klu	OK	0	0.106	1200	64b19fd4a7704245
idas/serial	idasRoberts_FSA_klu	-sensi stg t	idasRoberts_FSA_klu__-sensi_stg_t	OK	0	0.105	5941	d42c79f11b30d884
idas/serial	idasRoberts_klu		idasRoberts_klu	OK	0	0.106	1926	9fe77db586be1d71
idas/serial	idasRoberts_ASAi_sps		idasRoberts_ASAi_sps	NOT_PORTED	-	-	0	-
idas/serial	idasRoberts_FSA_sps	-sensi stg t	idasRoberts_FSA_sps__-sensi_stg_t	NOT_PORTED	-	-	0	-
idas/serial	idasRoberts_sps		idasRoberts_sps	NOT_PORTED	-	-	0	-
arkode/C_serial	ark_analytic		ark_analytic	OK	0	0.107	2021	797551566bda7fc1
arkode/C_serial	ark_analytic	arkode.scalar_tolerances 1e-6 1e-8 arkode.table_names ARKODE_ESDIRK547L2SA_7_4_5 ARKODE_ERK_NONE	ark_analytic__arkode.scalar_tolerances_1e-6_1e-8_arkode.table_names_ARKODE_ESDIRK547L2SA_7_4_5_ARKODE_ERK_NONE	OK	0	0.108	2021	1b87b7662db00102
arkode/C_serial	ark_advection_diffusion_reaction_splitting		ark_advection_diffusion_reaction_splitting	OK	0	0.107	3288	a7201d99d2ef8191
arkode/C_serial	ark_analytic_lsrk		ark_analytic_lsrk	OK	0	0.106	1143	716e59c6afc5c7b8
arkode/C_serial	ark_analytic_lsrk_varjac		ark_analytic_lsrk_varjac	OK	0	0.106	1303	a899238a00ebebf0
arkode/C_serial	ark_analytic_lsrk_domeigest		ark_analytic_lsrk_domeigest	OK	0	0.106	1384	35e6bc055a48607f
arkode/C_serial	ark_analytic_lsrk_domeigest	arkid.dom_eig_est_init_preprocess_iters 1 sundomeigestimator.max_iters 1	ark_analytic_lsrk_domeigest__arkid.dom_eig_est_init_preprocess_iters_1_sundomeigestimator.max_iters_1	OK	0	0.106	1374	b39e9064878b4b4d
arkode/C_serial	ark_analytic_mels		ark_analytic_mels	OK	0	0.105	801	f509501a8a065347
arkode/C_serial	ark_analytic_nonlin		ark_analytic_nonlin	OK	0	0.106	886	209ca7f82f9e0980
arkode/C_serial	ark_analytic_partitioned	forcing	ark_analytic_partitioned__forcing	OK	0	0.106	1673	7988580f398e9252
arkode/C_serial	ark_analytic_partitioned	splitting	ark_analytic_partitioned__splitting	OK	0	0.106	1673	c391ec1ac3886eba
arkode/C_serial	ark_analytic_partitioned	splitting ARKODE_SPLITTING_BEST_2_2_2	ark_analytic_partitioned__splitting_ARKODE_SPLITTING_BEST_2_2_2	OK	0	0.106	1750	4d239765e8cc1481
arkode/C_serial	ark_analytic_partitioned	splitting ARKODE_SPLITTING_RUTH_3_3_2	ark_analytic_partitioned__splitting_ARKODE_SPLITTING_RUTH_3_3_2	OK	0	0.106	1754	94a46ae122f59f3d
arkode/C_serial	ark_analytic_partitioned	splitting ARKODE_SPLITTING_YOSHIDA_8_6_2	ark_analytic_partitioned__splitting_ARKODE_SPLITTING_YOSHIDA_8_6_2	OK	0	0.106	1759	f37ce593b0b93457
arkode/C_serial	ark_analytic_ssprk		ark_analytic_ssprk	OK	0	0.106	990	e71b9e4dbe82dc51
arkode/C_serial	ark_brusselator_1D_mri		ark_brusselator_1D_mri	OK	0	0.414	5681	9394fb3de3a8b800
arkode/C_serial	ark_brusselator_fp		ark_brusselator_fp	OK	0	0.113	1107	aa3549a18920c9a2
arkode/C_serial	ark_brusselator_lsrk_domeigest		ark_brusselator_lsrk_domeigest	OK	0	0.109	1641	1df50afaace183d3
arkode/C_serial	ark_brusselator_lsrk_externaldomeigest		ark_brusselator_lsrk_externaldomeigest	OK	0	0.118	1570	c0090f25971d0f6a
arkode/C_serial	ark_brusselator_mri		ark_brusselator_mri	OK	0	0.017	1443	922387ecfc682c5c
arkode/C_serial	ark_brusselator		ark_brusselator	OK	0	0.113	1320	9d8fac6203f417e3
arkode/C_serial	ark_brusselator1D_imexmri	0 0.001	ark_brusselator1D_imexmri__0_0.001	OK	0	4.422	1299	f183b726edb2d41a
arkode/C_serial	ark_brusselator1D_imexmri	2 0.001	ark_brusselator1D_imexmri__2_0.001	OK	0	1.716	1328	1c205aa5eed96632
arkode/C_serial	ark_brusselator1D_imexmri	3 0.001	ark_brusselator1D_imexmri__3_0.001	OK	0	3.719	1423	10f894648e4f1ac4
arkode/C_serial	ark_brusselator1D_imexmri	4 0.001	ark_brusselator1D_imexmri__4_0.001	OK	0	1.007	1334	026ad2f80798c9f8
arkode/C_serial	ark_brusselator1D_imexmri	5 0.001	ark_brusselator1D_imexmri__5_0.001	OK	0	4.210	1430	d6aac9dd28ed1935
arkode/C_serial	ark_brusselator1D_imexmri	6 0.001	ark_brusselator1D_imexmri__6_0.001	OK	0	1.607	1336	27d896e2c9687e8f
arkode/C_serial	ark_brusselator1D_imexmri	7 0.001	ark_brusselator1D_imexmri__7_0.001	OK	0	7.714	1440	e6313b9fb9740773
arkode/C_serial	ark_brusselator1D		ark_brusselator1D	OK	0	0.106	5665	403a2dfeb4cf80d4
arkode/C_serial	ark_conserved_exp_entropy_ark	1 0	ark_conserved_exp_entropy_ark__1_0	OK	0	0.106	2938	96d1778ee80203e4
